"Configuration file was generated.","Configuration file was generated."
"Path to configuration file: \n%1","Path to configuration file: \n%1"
Done.,Done.
"Please Restart Sphinx Daemon and run search reindex.","Please Restart Sphinx Daemon and run search reindex."
"Sphinx daemon successfully restarted.","Sphinx daemon successfully restarted."
"Sphinx daemon not running.","Sphinx daemon not running."
"Sphinx daemon running.","Sphinx daemon running."
"PHP function ""exec"" not available","PHP function ""exec"" not available"
"'Searchd already using the following config file(s) : ' . . .","'Searchd already using the following config file(s) : ' . . ."
"Please make sure you use different sphinx ports for all of these instances.","Please make sure you use different sphinx ports for all of these instances."
"Searchd not found at %1","Searchd not found at %1"
"Please reset and restart your sphinx daemon to search by new index","Please reset and restart your sphinx daemon to search by new index"
"Please generate a new configuration file and place it to your remote server to search by new index","Please generate a new configuration file and place it to your remote server to search by new index"
"Please reset and restart your sphinx daemon to apply changes to search index","Please reset and restart your sphinx daemon to apply changes to search index"
"File %1 is not writable","File %1 is not writable"
"Directory %1 is not writable","Directory %1 is not writable"
"Sphinx Host","Sphinx Host"
"Sphinx Port","Sphinx Port"
"Sphinx installed on the same server","Sphinx installed on the same server"
"Sphinx Bin Path","Sphinx Bin Path"
"Allow for auto-start of Sphinx Daemon","Allow for auto-start of Sphinx Daemon"
"Additional Configuration","Additional Configuration"
"Custom Base Path","Custom Base Path"
"Additional searchd configuration","Additional searchd configuration"
"Additional index configuration","Additional index configuration"
"Custom Charset Table","Custom Charset Table"
"Fast Mode","Fast Mode"
